name,classfication,percentage_male
Dewpider,Water Bubble Pokémon,50
Araquanid,Water Bubble Pokémon,50
Fomantis,Sickle Grass Pokémon,50
Lurantis,Bloom Sickle Pokémon,50
Morelull,Illuminating Pokémon,50
Shiinotic,Illuminating Pokémon,50
Salandit,Toxic Lizard Pokémon,88.1
Salazzle,Toxic Lizard Pokémon,0
Stufful,Flailing Pokémon,50
Bewear,Strong Arm Pokémon,50
Bounsweet,Fruit Pokémon,0
Steenee,Fruit Pokémon,0
Tsareena,Fruit Pokémon,0
Comfey,Posy Picker Pokémon,24.6
Oranguru,Sage Pokémon,50
Passimian,Teamwork Pokémon,50
Wimpod,Turn Tail Pokémon,50
Golisopod,Hard Scale Pokémon,50
Sandygast,Sand Heap Pokémon,50
Palossand,Sand Castle Pokémon,50
Pyukumuku,Sea Cucumber Pokémon,50
Type: Null,Synthetic Pokémon,
Silvally,Synthetic Pokémon,
Minior,Meteor Pokémon,
Komala,Drowsing Pokémon,50
Turtonator,Blast Turtle Pokémon,50
Togedemaru,Roly-Poly Pokémon,50
Mimikyu,Disguise Pokémon,50
Bruxish,Gnash Teeth Pokémon,50
Drampa,Placid Pokémon,50
Dhelmise,Sea Creeper Pokémon,
Jangmo-o,Scaly Pokémon,50
Hakamo-o,Scaly Pokémon,50
Kommo-o,Scaly Pokémon,50
Tapu Koko,Land Spirit Pokémon,
Tapu Lele,Land Spirit Pokémon,
Tapu Bulu,Land Spirit Pokémon,
Tapu Fini,Land Spirit Pokémon,
Cosmog,Nebula Pokémon,
Cosmoem,Protostar Pokémon,
Solgaleo,Sunne Pokémon,
Lunala,Moone Pokémon,
Nihilego,Parasite Pokémon,
Buzzwole,Swollen Pokémon,
Pheromosa,Lissome Pokémon,
Xurkitree,Glowing Pokémon,
Celesteela,Launch Pokémon,
Kartana,Drawn Sword Pokémon,
Guzzlord,Junkivore Pokémon,
Necrozma,Prism Pokémon,
Magearna,Artificial Pokémon,
