pokedex_number,japanese_name,name,classfication,abilities,type1,type2,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,base_egg_steps,base_happiness,capture_rate,experience_growth,base_total,hp,attack,defense,sp_attack,sp_defense,speed,percentage_male,height_m,weight_kg,generation,is_legendary
97,Sleeperスリーパー,Hypno,Hypnosis Pokémon,"['Insomnia', 'Forewarn', 'Inner Focus']",psychic,,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,5120,70,75,1000000,483,85,73,70,73,115,67,50,1.6,75.6,1,0
98,Crabクラブ,Krabby,River Crab Pokémon,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,225,1000000,325,30,105,90,25,25,50,50,0.4,6.5,1,0
99,Kinglerキングラー,Kingler,Pincer Pokémon,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,60,1000000,475,55,130,115,50,50,75,50,1.3,60,1,0
100,Biriridamaビリリダマ,Voltorb,Ball Pokémon,"['Soundproof', 'Static', 'Aftermath']",electric,,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,5120,70,190,1000000,330,40,30,50,55,55,100,,0.5,10.4,1,0
101,Marumineマルマイン,Electrode,Ball Pokémon,"['Soundproof', 'Static', 'Aftermath']",electric,,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,5120,70,60,1000000,490,60,50,70,80,80,150,,1.2,66.6,1,0
102,Tamatamaタマタマ,Exeggcute,Egg Pokémon,"['Chlorophyll', 'Harvest']",grass,psychic,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,5120,70,90,1250000,325,60,40,80,60,45,40,50,0.4,2.5,1,0
103,Nassyナッシー,Exeggutor,Coconut Pokémon,"['Chlorophyll', 'Harvest', 'Frisk', 'Harvest']",grass,psychic,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,5120,70,45,1250000,530,95,105,85,125,75,45,50,,,1,0
104,Karakaraカラカラ,Cubone,Lonely Pokémon,"['Rock Head', 'Lightningrod', 'Battle Armor']",ground,,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,70,190,1000000,320,50,50,95,40,50,35,50,0.4,6.5,1,0
105,Garagaraガラガラ,Marowak,Bone Keeper Pokémon,"['Rock Head', 'Lightningrod', 'Battle Armor', 'Cursed Body', 'Lightningrod', 'Rock Head']",ground,fire,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,70,75,1000000,425,60,80,110,50,80,45,50,,,1,0
106,Sawamularサワムラー,Hitmonlee,Kicking Pokémon,"['Limber', 'Reckless', 'Unburden']",fighting,,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,6400,70,45,1000000,455,50,120,53,35,110,87,100,1.5,49.8,1,0
107,Ebiwalarエビワラー,Hitmonchan,Punching Pokémon,"['Keen Eye', 'Iron Fist', 'Inner Focus']",fighting,,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,6400,70,45,1000000,455,50,105,79,35,110,76,100,1.4,50.2,1,0
108,Beroringaベロリンガ,Lickitung,Licking Pokémon,"['Own Tempo', 'Oblivious', 'Cloud Nine']",normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,45,1000000,385,90,55,75,60,75,30,50,1.2,65.5,1,0
109,Dogarsドガース,Koffing,Poison Gas Pokémon,['Levitate'],poison,,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,190,1000000,340,40,65,95,60,45,35,50,0.6,1,1,0
110,Matadogasマタドガス,Weezing,Poison Gas Pokémon,['Levitate'],poison,,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,60,1000000,490,65,90,120,85,70,60,50,1.2,9.5,1,0
111,Sihornサイホーン,Rhyhorn,Spikes Pokémon,"['Lightningrod', 'Rock Head', 'Reckless']",ground,rock,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,5120,70,120,1250000,345,80,85,95,30,30,25,50,1,115,1,0
112,Sidonサイドン,Rhydon,Drill Pokémon,"['Lightningrod', 'Rock Head', 'Reckless']",ground,rock,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,5120,70,60,1250000,485,105,130,120,45,45,40,50,1.9,120,1,0
113,Luckyラッキー,Chansey,Egg Pokémon,"['Natural Cure', 'Serene Grace', 'Healer']",normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,10240,140,30,800000,450,250,5,5,35,105,50,0,1.1,34.6,1,0
114,Monjaraモンジャラ,Tangela,Vine Pokémon,"['Chlorophyll', 'Leaf Guard', 'Regenerator']",grass,,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,5120,70,45,1000000,435,65,55,115,100,40,60,50,1,35,1,0
115,Garuraガルーラ,Kangaskhan,Parent Pokémon,"['Early Bird', 'Scrappy', 'Inner Focus']",normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,45,1000000,590,105,125,100,60,100,100,0,2.2,80,1,0
116,Tattuタッツー,Horsea,Dragon Pokémon,"['Swift Swim', 'Sniper', 'Damp']",water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,225,1000000,295,30,40,70,70,25,60,50,0.4,8,1,0
117,Seadraシードラ,Seadra,Dragon Pokémon,"['Poison Point', 'Sniper', 'Damp']",water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,75,1000000,440,55,65,95,95,45,85,50,1.2,25,1,0
118,Tosakintoトサキント,Goldeen,Goldfish Pokémon,"['Swift Swim', 'Water Veil', 'Lightningrod']",water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,225,1000000,320,45,67,60,35,50,63,50,0.6,15,1,0
119,Azumaoアズマオウ,Seaking,Goldfish Pokémon,"['Swift Swim', 'Water Veil', 'Lightningrod']",water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,60,1000000,450,80,92,65,65,80,68,50,1.3,39,1,0
120,Hitodemanヒトデマン,Staryu,Starshape Pokémon,"['Illuminate', 'Natural Cure', 'Analytic']",water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,225,1250000,340,30,45,55,70,55,85,,0.8,34.5,1,0
121,Starmieスターミー,Starmie,Mysterious Pokémon,"['Illuminate', 'Natural Cure', 'Analytic']",water,psychic,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,5120,70,60,1250000,520,60,75,85,100,85,115,,1.1,80,1,0
122,Barrierdバリヤード,Mr. Mime,Barrier Pokémon,"['Soundproof', 'Filter', 'Technician']",psychic,fairy,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,6400,70,45,1000000,460,40,45,65,100,120,90,50,1.3,54.5,1,0
123,Strikeストライク,Scyther,Mantis Pokémon,"['Swarm', 'Technician', 'Steadfast']",bug,flying,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,6400,70,45,1000000,500,70,110,80,55,80,105,50,1.5,56,1,0
124,Rougelaルージュラ,Jynx,Humanshape Pokémon,"['Oblivious', 'Forewarn', 'Dry Skin']",ice,psychic,2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1,6400,70,45,1000000,455,65,50,35,115,95,95,0,1.4,40.6,1,0
125,Elebooエレブー,Electabuzz,Electric Pokémon,"['Static', 'Vital Spirit']",electric,,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,6400,70,45,1000000,490,65,83,57,95,85,105,75.4,1.1,30,1,0
126,Booberブーバー,Magmar,Spitfire Pokémon,"['Flame Body', 'Vital Spirit']",fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,6400,70,45,1000000,495,65,95,57,100,85,93,75.4,1.3,44.5,1,0
127,Kailiosカイロス,Pinsir,Stagbeetle Pokémon,"['Hyper Cutter', 'Mold Breaker', 'Moxie']",bug,,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,6400,70,45,1250000,600,65,155,120,65,90,105,50,1.5,55,1,0
128,Kentaurosケンタロス,Tauros,Wild Bull Pokémon,"['Intimidate', 'Anger Point', 'Sheer Force']",normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,45,1250000,490,75,100,95,40,70,110,100,1.4,88.4,1,0
129,Koikingコイキング,Magikarp,Fish Pokémon,"['Swift Swim', 'Rattled']",water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,1280,70,255,1250000,200,20,10,55,15,20,80,50,0.9,10,1,0
130,Gyaradosギャラドス,Gyarados,Atrocious Pokémon,"['Intimidate', 'Moxie']",water,flying,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,1280,70,45,1250000,640,95,155,109,70,130,81,50,6.5,235,1,0
131,Laplaceラプラス,Lapras,Transport Pokémon,"['Water Absorb', 'Shell Armor', 'Hydration']",water,ice,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,10240,70,45,1250000,535,130,85,80,85,95,60,50,2.5,220,1,0
132,Metamonメタモン,Ditto,Transform Pokémon,"['Limber', 'Imposter']",normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,35,1000000,288,48,48,48,48,48,48,,0.3,4,1,0
133,Eievuiイーブイ,Eevee,Evolution Pokémon,"['Run Away', 'Adaptability', 'Anticipation']",normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,8960,70,45,1000000,325,55,55,50,45,65,55,88.1,0.3,6.5,1,0
134,Showersシャワーズ,Vaporeon,Bubble Jet Pokémon,"['Water Absorb', 'Hydration']",water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,8960,70,45,1000000,525,130,65,60,110,95,65,88.1,1,29,1,0
135,Thundersサンダース,Jolteon,Lightning Pokémon,"['Volt Absorb', 'Quick Feet']",electric,,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,8960,70,45,1000000,525,65,65,60,110,95,130,88.1,0.8,24.5,1,0
136,Boosterブースター,Flareon,Flame Pokémon,"['Flash Fire', 'Guts']",fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,8960,70,45,1000000,525,65,130,60,95,110,65,88.1,0.9,25,1,0
137,Porygonポリゴン,Porygon,Virtual Pokémon,"['Trace', 'Download', 'Analytic']",normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,45,1000000,395,65,60,70,85,75,40,,0.8,36.5,1,0
138,Omniteオムナイト,Omanyte,Spiral Pokémon,"['Swift Swim', 'Shell Armor', 'Weak Armor']",rock,water,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,7680,70,45,1000000,355,35,40,100,90,55,35,88.1,0.4,7.5,1,0
139,Omstarオムスター,Omastar,Spiral Pokémon,"['Swift Swim', 'Shell Armor', 'Weak Armor']",rock,water,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,7680,70,45,1000000,495,70,60,125,115,70,55,88.1,1,35,1,0
140,Kabutoカブト,Kabuto,Shellfish Pokémon,"['Swift Swim', 'Battle Armor', 'Weak Armor']",rock,water,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,7680,70,45,1000000,355,30,80,90,55,45,55,88.1,0.5,11.5,1,0
141,Kabutopsカブトプス,Kabutops,Shellfish Pokémon,"['Swift Swim', 'Battle Armor', 'Weak Armor']",rock,water,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,7680,70,45,1000000,495,60,115,105,65,70,80,88.1,1.3,40.5,1,0
142,Pteraプテラ,Aerodactyl,Fossil Pokémon,"['Rock Head', 'Pressure', 'Unnerve']",rock,flying,0.5,1,1,2,1,1,0.5,0.5,1,1,0,2,0.5,0.5,1,2,2,2,8960,70,45,1250000,615,80,135,85,70,95,150,88.1,1.8,59,1,0
143,Kabigonカビゴン,Snorlax,Sleeping Pokémon,"['Immunity', 'Thick Fat', 'Gluttony']",normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,10240,70,25,1250000,540,160,110,65,65,110,30,88.1,2.1,460,1,0
144,Freezerフリーザー,Articuno,Freeze Pokémon,"['Pressure', 'Snow Cloak']",ice,flying,0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1,20480,35,3,1250000,580,90,85,100,95,125,85,,1.7,55.4,1,1
145,Thunderサンダー,Zapdos,Electric Pokémon,"['Pressure', 'Static']",electric,flying,0.5,1,1,1,1,0.5,1,0.5,1,0.5,0,2,1,1,1,2,0.5,1,20480,35,3,1250000,580,90,90,85,125,90,100,,1.6,52.6,1,1
146,Fireファイヤー,Moltres,Flame Pokémon,"['Pressure', 'Flame Body']",fire,flying,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,20480,35,3,1250000,580,90,100,90,125,85,90,,2,60,1,1
147,Miniryuミニリュウ,Dratini,Dragon Pokémon,"['Shed Skin', 'Marvel Scale']",dragon,,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,10240,35,45,1250000,300,41,64,45,50,50,50,50,1.8,3.3,1,0
148,Hakuryuハクリュー,Dragonair,Dragon Pokémon,"['Shed Skin', 'Marvel Scale']",dragon,,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,10240,35,45,1250000,420,61,84,65,70,70,70,50,4,16.5,1,0
149,Kairyuカイリュー,Dragonite,Dragon Pokémon,"['Inner Focus', 'Multiscale']",dragon,flying,0.5,1,2,1,2,0.5,0.5,1,1,0.25,0,4,1,1,1,2,1,0.5,10240,35,45,1250000,600,91,134,95,100,100,80,50,2.2,210,1,0
150,Mewtwoミュウツー,Mewtwo,Genetic Pokémon,"['Pressure', 'Unnerve']",psychic,,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,30720,0,3,1250000,780,106,150,70,194,120,140,,2,122,1,1
151,Mewミュウ,Mew,New Species Pokémon,['Synchronize'],psychic,,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,30720,100,45,1059860,600,100,100,100,100,100,100,,0.4,4,1,1
152,Chicoritaチコリータ,Chikorita,Leaf Pokémon,"['Overgrow', 'Leaf Guard']",grass,,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,5120,70,45,1059860,318,45,49,65,49,65,45,88.1,0.9,6.4,2,0
153,Bayleafベイリーフ,Bayleef,Leaf Pokémon,"['Overgrow', 'Leaf Guard']",grass,,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,5120,70,45,1059860,405,60,62,80,63,80,60,88.1,1.2,15.8,2,0
154,Meganiumメガニウム,Meganium,Herb Pokémon,"['Overgrow', 'Leaf Guard']",grass,,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,5120,70,45,1059860,525,80,82,100,83,100,80,88.1,1.8,100.5,2,0
155,Hinoarashiヒノアラシ,Cyndaquil,Fire Mouse Pokémon,"['Blaze', 'Flash Fire']",fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,45,1059860,309,39,52,43,60,50,65,88.1,0.5,7.9,2,0
156,Magmarashiマグマラシ,Quilava,Volcano Pokémon,"['Blaze', 'Flash Fire']",fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,45,1059860,405,58,64,58,80,65,80,88.1,0.9,19,2,0
157,Bakphoonバクフーン,Typhlosion,Volcano Pokémon,"['Blaze', 'Flash Fire']",fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,45,1059860,534,78,84,78,109,85,100,88.1,1.7,79.5,2,0
158,Waninokoワニノコ,Totodile,Big Jaw Pokémon,"['Torrent', 'Sheer Force']",water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,45,1059860,314,50,65,64,44,48,43,88.1,0.6,9.5,2,0
159,Alligatesアリゲイツ,Croconaw,Big Jaw Pokémon,"['Torrent', 'Sheer Force']",water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,45,1059860,405,65,80,80,59,63,58,88.1,1.1,25,2,0
160,Ordileオーダイル,Feraligatr,Big Jaw Pokémon,"['Torrent', 'Sheer Force']",water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,45,1059860,530,85,105,100,79,83,78,88.1,2.3,88.8,2,0
161,Otachiオタチ,Sentret,Scout Pokémon,"['Run Away', 'Keen Eye', 'Frisk']",normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,3840,70,255,1000000,215,35,46,34,35,45,20,50,0.8,6,2,0
162,Ootachiオオタチ,Furret,Long Body Pokémon,"['Run Away', 'Keen Eye', 'Frisk']",normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,3840,70,90,1000000,415,85,76,64,45,55,90,50,1.8,32.5,2,0
163,Hohoホーホー,Hoothoot,Owl Pokémon,"['Insomnia', 'Keen Eye', 'Tinted Lens']",normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,3840,70,255,1000000,262,60,30,30,36,56,50,50,0.7,21.2,2,0
164,Yorunozukuヨルノズク,Noctowl,Owl Pokémon,"['Insomnia', 'Keen Eye', 'Tinted Lens']",normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,3840,70,90,1000000,452,100,50,50,86,96,70,50,1.6,40.8,2,0
165,Redibaレディバ,Ledyba,Five Star Pokémon,"['Swarm', 'Early Bird', 'Rattled']",bug,flying,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,3840,70,255,800000,265,40,20,30,40,80,55,50,1,10.8,2,0
166,Redianレディアン,Ledian,Five Star Pokémon,"['Swarm', 'Early Bird', 'Iron Fist']",bug,flying,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,3840,70,90,800000,390,55,35,50,55,110,85,50,1.4,35.6,2,0
167,Itomaruイトマル,Spinarak,String Spit Pokémon,"['Swarm', 'Insomnia', 'Sniper']",bug,poison,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,3840,70,255,800000,250,40,60,40,40,40,30,50,0.5,8.5,2,0
168,Ariadosアリアドス,Ariados,Long Leg Pokémon,"['Swarm', 'Insomnia', 'Sniper']",bug,poison,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,3840,70,90,800000,400,70,90,70,60,70,40,50,1.1,33.5,2,0
169,Crobatクロバット,Crobat,Bat Pokémon,"['Inner Focus', 'Infiltrator']",poison,flying,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,3840,70,90,1000000,535,85,90,80,70,80,130,50,1.8,75,2,0
170,Chonchieチョンチー,Chinchou,Angler Pokémon,"['Volt Absorb', 'Illuminate', 'Water Absorb']",water,electric,1,1,1,1,1,1,0.5,0.5,1,2,2,0.5,1,1,1,1,0.25,0.5,5120,70,190,1250000,330,75,38,38,56,56,67,50,0.5,12,2,0
171,Lanternランターン,Lanturn,Light Pokémon,"['Volt Absorb', 'Illuminate', 'Water Absorb']",water,electric,1,1,1,1,1,1,0.5,0.5,1,2,2,0.5,1,1,1,1,0.25,0.5,5120,70,75,1250000,460,125,58,58,76,76,67,50,1.2,22.5,2,0
172,Pichuピチュー,Pichu,Tiny Mouse Pokémon,"['Static', 'Lightningrod']",electric,,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,2560,70,190,1000000,205,20,40,15,35,35,60,50,0.3,2,2,0
173,Pyピィ,Cleffa,Star Shape Pokémon,"['Cute Charm', 'Magic Guard', 'Friend Guard']",fairy,,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,2560,140,150,800000,218,50,25,28,45,55,15,24.6,0.3,3,2,0
174,Pupurinププリン,Igglybuff,Balloon Pokémon,"['Cute Charm', 'Competitive', 'Friend Guard']",normal,fairy,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,2560,70,170,800000,210,90,30,15,40,20,15,24.6,0.3,1,2,0
175,Togepyトゲピー,Togepi,Spike Ball Pokémon,"['Hustle', 'Serene Grace', 'Super Luck']",fairy,,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,2560,70,190,800000,245,35,20,65,40,65,20,88.1,0.3,1.5,2,0
176,Togechickトゲチック,Togetic,Happiness Pokémon,"['Hustle', 'Serene Grace', 'Super Luck']",fairy,flying,0.25,0.5,0,2,1,0.25,1,1,1,0.5,0,2,1,2,1,2,2,1,2560,70,75,800000,405,55,40,85,80,105,40,88.1,0.6,3.2,2,0
177,Natyネイティ,Natu,Little Bird Pokémon,"['Synchronize', 'Early Bird', 'Magic Bounce']",psychic,flying,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,5120,70,190,1000000,320,40,50,45,70,45,70,50,0.2,2,2,0
178,Natioネイティオ,Xatu,Mystic Pokémon,"['Synchronize', 'Early Bird', 'Magic Bounce']",psychic,flying,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,5120,70,75,1000000,470,65,75,70,95,70,95,50,1.5,15,2,0
179,Merriepメリープ,Mareep,Wool Pokémon,"['Static', 'Plus']",electric,,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,5120,70,235,1059860,280,55,40,40,65,45,35,50,0.6,7.8,2,0
180,Mokokoモココ,Flaaffy,Wool Pokémon,"['Static', 'Plus']",electric,,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,5120,70,120,1059860,365,70,55,55,80,60,45,50,0.8,13.3,2,0
181,Denryuデンリュウ,Ampharos,Light Pokémon,"['Static', 'Plus']",electric,,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,5120,70,45,1059860,610,90,95,105,165,110,45,50,1.4,61.5,2,0
182,Kireihanaキレイハナ,Bellossom,Flower Pokémon,"['Chlorophyll', 'Healer']",grass,,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,5120,70,45,1059860,490,75,80,95,90,100,50,50,0.4,5.8,2,0
183,Marilマリル,Marill,Aquamouse Pokémon,"['Thick Fat', 'Huge Power', 'Sap Sipper']",water,fairy,0.5,0.5,0,2,1,0.5,0.5,1,1,2,1,0.5,1,2,1,1,1,0.5,2560,70,190,800000,250,70,20,50,20,50,40,50,0.4,8.5,2,0
184,Marilliマリルリ,Azumarill,Aquarabbit Pokémon,"['Thick Fat', 'Huge Power', 'Sap Sipper']",water,fairy,0.5,0.5,0,2,1,0.5,0.5,1,1,2,1,0.5,1,2,1,1,1,0.5,2560,70,75,800000,420,100,50,80,60,80,50,50,0.8,28.5,2,0
185,Usokkieウソッキー,Sudowoodo,Imitation Pokémon,"['Sturdy', 'Rock Head', 'Rattled']",rock,,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2,5120,70,65,1000000,410,70,100,115,30,65,30,50,1.2,38,2,0
186,Nyorotonoニョロトノ,Politoed,Frog Pokémon,"['Water Absorb', 'Damp', 'Drizzle']",water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,45,1059860,500,90,75,75,90,100,70,50,1.1,33.9,2,0
187,Haneccoハネッコ,Hoppip,Cottonweed Pokémon,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",grass,flying,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,5120,70,255,1059860,250,35,35,40,35,55,50,50,0.4,0.5,2,0
188,Popoccoポポッコ,Skiploom,Cottonweed Pokémon,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",grass,flying,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,5120,70,120,1059860,340,55,45,50,45,65,80,50,0.6,1,2,0
189,Wataccoワタッコ,Jumpluff,Cottonweed Pokémon,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",grass,flying,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,5120,70,45,1059860,460,75,55,70,55,95,110,50,0.8,3,2,0
190,Eipamエイパム,Aipom,Long Tail Pokémon,"['Run Away', 'Pickup', 'Skill Link']",normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,45,800000,360,55,70,55,40,55,85,50,0.8,11.5,2,0
191,Himanutsヒマナッツ,Sunkern,Seed Pokémon,"['Chlorophyll', 'Solar Power', 'Early Bird']",grass,,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,5120,70,235,1059860,180,30,30,30,30,30,30,50,0.3,1.8,2,0
192,Kimawariキマワリ,Sunflora,Sun Pokémon,"['Chlorophyll', 'Solar Power', 'Early Bird']",grass,,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,5120,70,120,1059860,425,75,75,55,105,85,30,50,0.8,8.5,2,0
193,Yanyanmaヤンヤンマ,Yanma,Clear Wing Pokémon,"['Speed Boost', 'Compoundeyes', 'Frisk']",bug,flying,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,5120,70,75,1000000,390,65,65,45,75,45,95,50,1.2,38,2,0
194,Upahウパー,Wooper,Water Fish Pokémon,"['Damp', 'Water Absorb', 'Unaware']",water,ground,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,5120,70,255,1000000,210,55,45,45,25,25,15,50,0.4,8.5,2,0
195,Nuohヌオー,Quagsire,Water Fish Pokémon,"['Damp', 'Water Absorb', 'Unaware']",water,ground,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,5120,70,90,1000000,430,95,85,85,65,65,35,50,1.4,75,2,0
196,Eifieエーフィ,Espeon,Sun Pokémon,"['Synchronize', 'Magic Bounce']",psychic,,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,8960,70,45,1000000,525,65,65,60,130,95,110,88.1,0.9,26.5,2,0
